rbid,type,date,year,category,name,pdf
312,Regleringsbrev,2002-12-19,2003,Myndighet,Fastighetsmäklarnämnden,False
313,Regleringsbrev,2002-12-19,2003,Myndighet,Linköpings universitet,False
314,Regleringsbrev,2002-12-19,2003,Myndighet,Karolinska institutet,False
315,Regleringsbrev,2002-12-19,2003,Myndighet,Kungl. Tekniska högskolan,False
316,Regleringsbrev,2002-12-19,2003,Myndighet,Luleå tekniska universitet,False
317,Regleringsbrev,2002-12-19,2003,Myndighet,Karlstads universitet,False
318,Regleringsbrev,2002-12-19,2003,Myndighet,Växjö universitet,False
319,Regleringsbrev,2002-12-19,2003,Myndighet,Örebro universitet,False
320,Regleringsbrev,2002-12-19,2003,Myndighet,Mitthögskolan,False
321,Regleringsbrev,2003-12-19,2003,Myndighet,Blekinge tekniska högskola,False
322,Regleringsbrev,2002-12-19,2003,Myndighet,Ekobrottsmyndigheten,False
323,Regleringsbrev,2002-12-19,2003,Myndighet,Riksåklagaren,False
324,Regleringsbrev,2002-12-19,2003,Myndighet,Marknadsdomstolen,False
325,Regleringsbrev,2002-12-20,2003,Myndighet,Kemikalieinspektionen,False
326,Regleringsbrev,2002-12-19,2003,Myndighet,Danshögskolan,False
327,Regleringsbrev,2002-12-20,2003,Myndighet,Regeringskansliet,False
328,Regleringsbrev,2002-12-19,2003,Myndighet,Statens kulturråd,False
329,Regleringsbrev,2002-12-19,2003,Myndighet,Högskoleverket,False
330,Regleringsbrev,2002-12-20,2003,Myndighet,Kammarkollegiet,False
331,Regleringsbrev,2003-01-17,2003,Myndighet,Regeringskansliet,False
332,Regleringsbrev,2002-12-19,2003,Myndighet,Högskolan på Gotland,False
333,Regleringsbrev,2002-12-20,2003,Myndighet,Regeringskansliet,False
334,Regleringsbrev,2002-12-19,2003,Myndighet,Malmö Högskola,False
335,Regleringsbrev,2002-12-19,2003,Myndighet,Dramatiska institutet,False
336,Regleringsbrev,2002-12-19,2003,Myndighet,Högskolan i Kalmar,False
337,Regleringsbrev,2002-12-20,2003,Myndighet,regeringen,False
339,Regleringsbrev,2002-12-19,2003,Myndighet,Riksarkivet,False
340,Regleringsbrev,2002-12-19,2003,Myndighet,Naturhistoriska riksmuseet,False
341,Regleringsbrev,2002-12-19,2003,Myndighet,Statens konstråd,False
342,Regleringsbrev,2002-12-19,2003,Myndighet,Statens musiksamlingar,False
343,Regleringsbrev,2002-12-19,2003,Myndighet,Radio- och TV- verket,False
344,Regleringsbrev,2002-12-19,2003,Myndighet,Högskolan i Borås,False
345,Regleringsbrev,2002-12-19,2003,Myndighet,Mälardalens högskola,False
346,Regleringsbrev,2002-12-19,2003,Myndighet,Riksutställningar,False
347,Regleringsbrev,2002-12-19,2003,Myndighet,Luftfartsverket,False
349,Regleringsbrev,2002-12-19,2003,Myndighet,Högskolan Dalarna,False
350,Regleringsbrev,2002-12-19,2003,Myndighet,Polisväsendet,False
351,Regleringsbrev,2002-12-16,2003,Myndighet,Ungdomsstyrelsen,False
352,Regleringsbrev,2002-12-19,2003,Myndighet,Kammarkollegiet,False
353,Regleringsbrev,2002-12-19,2003,Myndighet,Högskolan i Gävle,False
354,Regleringsbrev,2002-12-19,2003,Myndighet,Högskolan i Halmstad,False
355,Regleringsbrev,2002-12-19,2003,Myndighet,Högskolan Kristianstad,False
356,Regleringsbrev,2002-12-19,2003,Myndighet,Högskolan i Skövde,False
357,Regleringsbrev,2002-12-19,2003,Myndighet,Högskolan i Trollhättan/Uddevalla,False
358,Regleringsbrev,2002-12-19,2003,Myndighet,Kammarkollegiet,False
362,Regleringsbrev,2003-01-17,2003,Myndighet,Regeringskansliet,False
363,Regleringsbrev,2002-12-20,2003,Myndighet,"Forskningsrådet för miljö, areella näringar och samhällsbyggande",False
365,Regleringsbrev,2002-12-19,2003,Myndighet,Centrala studiestödsnämnden,False
366,Regleringsbrev,2002-12-19,2003,Myndighet,Presstödsnämnden,False
367,Regleringsbrev,2002-12-19,2003,Myndighet,Överklagandenämnden för studiestöd,False
368,Regleringsbrev,2002-12-19,2003,Myndighet,Statens folkhälsoinstitut,False
369,Regleringsbrev,2002-12-19,2003,Myndighet,Sjöfartsverket,False
370,Regleringsbrev,2002-12-19,2003,Myndighet,Idrottshögskolan i Stockholm,False
371,Regleringsbrev,2002-12-19,2003,Myndighet,Konstfack,False
372,Regleringsbrev,2002-12-19,2003,Myndighet,Kungl. Konsthögskolan,False
373,Regleringsbrev,2002-12-19,2003,Myndighet,Kungl. Musikhögskolan i Stockholm,False
374,Regleringsbrev,2002-12-19,2003,Myndighet,Lärarhögskolan i Stockholm,False
375,Regleringsbrev,2002-12-19,2003,Myndighet,Operahögskolan i Stockholm,False
376,Regleringsbrev,2002-12-19,2003,Myndighet,Södertörns högskola,False
377,Regleringsbrev,2002-12-19,2003,Myndighet,Teaterhögskolan i Stockholm,False
378,Regleringsbrev,2002-12-19,2003,Myndighet,Myndigheten för Sveriges nätuniversitet,False
379,Regleringsbrev,2002-12-19,2003,Myndighet,Svenska ESF-rådet,False
380,Regleringsbrev,2002-12-19,2003,Myndighet,Göteborgs universitet,False
381,Regleringsbrev,2002-12-19,2003,Myndighet,Riksantikvarieämbetet,False
382,Regleringsbrev,2002-12-19,2003,Myndighet,Livrustkammaren/Skoklosters slott/ Hallwylska museet,False
383,Regleringsbrev,2002-12-19,2003,Myndighet,Migrationsverket,False
384,Regleringsbrev,2002-12-20,2003,Myndighet,Utlänningsnämnden,False
385,Regleringsbrev,2002-12-12,2003,Myndighet,Ombudsmannen mot etnisk diskriminering,False
386,Regleringsbrev,2002-12-19,2003,Myndighet,Statens skolverk,False
387,Regleringsbrev,2002-12-20,2003,Myndighet,Statens växtsortnämnd,False
388,Regleringsbrev,2002-12-19,2003,Myndighet,Inspektionen för strategiska produkter,False
390,Regleringsbrev,2002-12-19,2003,Myndighet,Ombudsmannen mot diskriminering på grund av sexuell läggning,False
391,Regleringsbrev,2002-12-20,2003,Myndighet,Statens strålskyddsinstitut,False
392,Regleringsbrev,2002-12-20,2003,Myndighet,Statens kärnkraftinspektion,False
393,Regleringsbrev,2002-12-13,2003,Myndighet,Statens geotekniska institut,False
395,Regleringsbrev,2002-12-19,2003,Myndighet,Språk- och folkminnesinstitutet,False
396,Regleringsbrev,2002-12-12,2003,Myndighet,Totalförsvarets forskningsinstitut,False
398,Regleringsbrev,2002-12-19,2003,Myndighet,Institutet för arbetsmarknadspolitisk utvärdering,False
400,Regleringsbrev,2002-12-20,2003,Myndighet,Sveriges meteorologiska och hydrologiska institut,False
401,Regleringsbrev,2002-12-19,2003,Myndighet,Handelsflottans kultur- och fritidsråd,False
402,Regleringsbrev,2002-12-19,2003,Myndighet,Arbetslivsinstitutet,False
403,Regleringsbrev,2002-12-19,2003,Myndighet,Banverket,False
404,Regleringsbrev,2002-12-12,2003,Myndighet,Centrala studiestödsnämnden,False
405,Regleringsbrev,2002-12-20,2003,Myndighet,Styrelsen för ackreditering och teknisk kontroll,False
407,Regleringsbrev,2002-12-19,2003,Myndighet,Lantmäteriverket,False
408,Regleringsbrev,,2003,Myndighet,Länsstyrelsen i Norrbottens län,False
410,Regleringsbrev,2003-01-17,2003,Myndighet,Statens institut för ekologisk hållbarhet,False
411,Regleringsbrev,2002-12-19,2003,Myndighet,Boverket,False
412,Regleringsbrev,2002-12-19,2003,Myndighet,regeringen,False
414,Regleringsbrev,2002-12-12,2003,Myndighet,Styrelsen för psykologiskt försvar,False
415,Regleringsbrev,2002-12-19,2003,Myndighet,Läkemedelsförmånsnämnden,False
416,Regleringsbrev,2002-12-19,2003,Myndighet,Läkemedelsverket,False
417,Regleringsbrev,2002-12-19,2003,Myndighet,Handikappombudsmannen,False
418,Regleringsbrev,2002-12-19,2003,Myndighet,Kammarkollegiet,False
420,Regleringsbrev,2002-12-19,2003,Myndighet,Boverket,False
421,Regleringsbrev,2002-12-19,2003,Myndighet,Försvarshögskolan,False
422,Regleringsbrev,2002-12-19,2003,Myndighet,Statens bostadsnämnd,False
423,Regleringsbrev,2002-12-19,2003,Myndighet,Totalförsvarets pliktverk,False
424,Regleringsbrev,2002-12-19,2003,Myndighet,Medlingsinstitutet,False
425,Regleringsbrev,2003-01-16,2003,Myndighet,Affärsverket Statens järnvägar,False
426,Regleringsbrev,2002-12-19,2003,Myndighet,Samarbetsnämnden för statsbidrag till trossamfund,False
427,Regleringsbrev,2002-12-19,2003,Myndighet,Verket för högskoleservice,False
428,Regleringsbrev,2002-12-19,2003,Myndighet,Glesbygdsverket,False
429,Regleringsbrev,2002-12-19,2003,Myndighet,Statens sjöhistoriska museer,False
430,Regleringsbrev,2002-12-19,2003,Myndighet,Svenskt biografiskt lexikon,False
431,Regleringsbrev,2002-12-19,2003,Myndighet,Statens haverikommission,False
432,Regleringsbrev,2002-12-12,2003,Myndighet,Nationellt centrum för flexibelt lärande,False
433,Regleringsbrev,2002-12-19,2003,Myndighet,Styrelsen för ackreditering och teknisk kontroll,False
434,Regleringsbrev,2002-12-19,2003,Myndighet,Vetenskapsrådet,False
435,Regleringsbrev,2002-12-19,2003,Myndighet,Internationella programkontoret för utbildningsområdet,False
436,Regleringsbrev,2002-12-19,2003,Myndighet,Gemensamma bestämmelser för universitet och högskolor m.m.,False
437,Regleringsbrev,2002-12-19,2003,Myndighet,Rikstrafiken,False
438,Regleringsbrev,2002-12-19,2003,Myndighet,Institutet för rymdfysik,False
440,Regleringsbrev,2002-12-19,2003,Myndighet,Talboks- och punktskriftsbiblioteket,False
441,Regleringsbrev,2002-12-20,2003,Myndighet,Arbetsgivarverket,False
442,Regleringsbrev,2002-12-19,2003,Myndighet,Konkurrensverket,False
443,Regleringsbrev,2002-12-19,2003,Myndighet,Statens väg- och transportforskningsinstitut,False
444,Regleringsbrev,2002-12-19,2003,Myndighet,Kungl. biblioteket,False
445,Regleringsbrev,2002-12-19,2003,Myndighet,Rådet för forsknings och utvecklingssamarbete inom EU,False
446,Regleringsbrev,2002-12-20,2003,Myndighet,Polarforskningssekretariatet,False
447,Regleringsbrev,2002-12-19,2003,Myndighet,Statens museer för världskultur,False
448,Regleringsbrev,2002-12-19,2003,Myndighet,Statens försvarshistoriska museer,False
449,Regleringsbrev,2002-12-19,2003,Myndighet,Statens ljud -och bildarkiv,False
450,Regleringsbrev,2002-12-19,2003,Myndighet,Regeringskansliet,False
452,Regleringsbrev,2002-12-12,2003,Myndighet,Tullverket,False
453,Regleringsbrev,2002-12-19,2003,Myndighet,Specialpedagogiska institutet,False
454,Regleringsbrev,2002-12-19,2003,Myndighet,Kammarkollegiet,False
455,Regleringsbrev,2002-12-19,2003,Myndighet,Länsstyrelserna,False
456,Regleringsbrev,2002-12-20,2003,Myndighet,Finansinspektionen,False
457,Regleringsbrev,2002-12-19,2003,Myndighet,Svenska unescorådet,False
458,Regleringsbrev,2002-12-19,2003,Myndighet,Steriliseringsersättningsnämnden,False
459,Regleringsbrev,2002-12-19,2003,Myndighet,Institutet för tillväxtpolitiska studier,False
460,Regleringsbrev,2002-12-20,2003,Myndighet,Bokföringsnämnden,False
461,Regleringsbrev,2002-12-19,2003,Myndighet,Smittskyddsinstitutet,False
462,Regleringsbrev,2002-12-19,2003,Myndighet,Statens VA-nämnd,False
463,Regleringsbrev,2002-12-19,2003,Myndighet,Rymdstyrelsen,False
464,Regleringsbrev,2002-12-19,2003,Myndighet,Statens beredning för medicinsk utvärdering,False
465,Regleringsbrev,2002-12-20,2003,Myndighet,Kammarkollegiet,False
466,Regleringsbrev,2003-01-16,2003,Myndighet,Rymdstyrelsen,False
467,Regleringsbrev,2002-12-19,2003,Myndighet,Nämnden för hemslöjdsfrågor,False
468,Regleringsbrev,2002-12-19,2003,Myndighet,Boverket,False
469,Regleringsbrev,2003-01-19,2003,Myndighet,Vägverket,False
470,Regleringsbrev,2003-04-10,2003,Myndighet,regeringen,False
471,Regleringsbrev,2003-01-15,2003,Myndighet,Specialskolemyndigheten,False
472,Regleringsbrev,2003-01-20,2003,Myndighet,Regeringskansliet,False
473,Regleringsbrev,2002-12-19,2003,Myndighet,regeringen,False
474,Regleringsbrev,2002-12-20,2003,Myndighet,Insättningsgarantinämnden,False
475,Regleringsbrev,2002-12-19,2003,Myndighet,Jämställdhetsombudsmannen,False
476,Regleringsbrev,2003-01-20,2003,Myndighet,Exportkreditnämnden,False
477,Regleringsbrev,2003-01-20,2003,Myndighet,Kommerskollegium,False
478,Regleringsbrev,2002-12-19,2003,Myndighet,Kammarkollegiet,False
479,Regleringsbrev,2002-12-20,2003,Myndighet,Premiepensionsmyndigheten,False
480,Regleringsbrev,2002-12-11,2003,Myndighet,Boverket,False
481,Regleringsbrev,2002-12-12,2003,Myndighet,Lotteriinspektionen,False
483,Regleringsbrev,2002-12-19,2003,Myndighet,Fonden för fukt- och mögelskador,False
484,Regleringsbrev,2003-01-20,2003,Myndighet,Delegationen för utländska investeringar i Sverige (ISA),False
486,Regleringsbrev,2002-12-19,2003,Myndighet,Nämnden för offentlig upphandling,False
487,Regleringsbrev,2002-12-16,2003,Myndighet,Statens fastighetsverk,False
488,Regleringsbrev,2002-12-16,2003,Myndighet,Fortifikationsverket,False
489,Regleringsbrev,2002-12-10,2003,Myndighet,Ekonomiska rådet,False
1007,Regleringsbrev,2002-12-19,2003,Myndighet,Regeringskansliet,False
1008,Regleringsbrev,2002-12-19,2003,Myndighet,Överklagandenämnden för totalförsvaret,False
1014,Regleringsbrev,,2003,Myndighet,Länsstyrelsen i Västra Götalands län,False
1015,Regleringsbrev,2002-12-19,2003,Myndighet,Riksgäldskontoret,False
1017,Regleringsbrev,2002-12-20,2003,Myndighet,Statskontoret,False
1018,Regleringsbrev,2002-12-19,2003,Myndighet,Statens bostadskreditnämnd,False
1020,Regleringsbrev,2002-12-19,2003,Myndighet,Brottsoffermyndigheten,False
1021,Regleringsbrev,2002-12-19,2003,Myndighet,Forum för Levande historia,False
1022,Regleringsbrev,2003-01-20,2003,Myndighet,Domstolsverket,False
1023,Regleringsbrev,2003-01-14,2003,Myndighet,Revisorsnämnden,False
1024,Regleringsbrev,2003-01-17,2003,Myndighet,Regeringskansliet,False
1025,Regleringsbrev,2002-12-19,2003,Myndighet,Turistdelegationen,False
1026,Regleringsbrev,2002-12-19,2003,Myndighet,Patentbesvärsrätten,False
1027,Regleringsbrev,2003-01-17,2003,Myndighet,Patent- och registreringsverket,False
1028,Regleringsbrev,2003-01-17,2003,Myndighet,Verket för näringslivsutveckling,False
1029,Regleringsbrev,2003-01-17,2003,Myndighet,Verket för innovationssystem,False
1030,Regleringsbrev,2003-01-16,2003,Myndighet,Arbetsmarknadsverket,False
1031,Regleringsbrev,2002-12-19,2003,Myndighet,Statens nämnd för internationella adoptionsfrågor,False
1032,Regleringsbrev,2002-12-19,2003,Myndighet,Statens institut för kommunikationsanalys,False
1033,Regleringsbrev,2002-12-19,2003,Myndighet,Brottsförebyggande rådet,False
1034,Regleringsbrev,2002-12-19,2003,Myndighet,Rättsmedicinalverket,False
1035,Regleringsbrev,2002-12-19,2003,Myndighet,Kriminalvårdsstyrelsen,False
1038,Regleringsbrev,2003-01-19,2003,Myndighet,Datainspektionen,False
1040,Regleringsbrev,2002-12-20,2003,Myndighet,Statens kvalitets- och kompetensråd,False
1042,Regleringsbrev,2002-12-20,2003,Myndighet,Statens pensionsverk,False
1044,Regleringsbrev,2002-12-19,2003,Myndighet,Myndigheten för skolutveckling,False
1045,Regleringsbrev,2002-12-20,2003,Myndighet,regeringen,False
1046,Regleringsbrev,2003-01-10,2003,Myndighet,Delegationen för IT i skolan,False
1047,Regleringsbrev,2002-12-19,2003,Myndighet,Affärsverket svenska kraftnät,False
1048,Regleringsbrev,2002-12-19,2003,Myndighet,Säkerhetspolisen,False
2907,Ändringsbeslut,2003-02-27,2003,Myndighet,Statens skolverk,False
2908,Ändringsbeslut,2003-02-27,2003,Myndighet,Myndigheten för skolutveckling,False
2910,Ändringsbeslut,2003-02-18,2003,Myndighet,Statens räddningsverk,False
2911,Ändringsbeslut,2003-01-23,2003,Myndighet,Kriminalvårdsstyrelsen,False
2912,Ändringsbeslut,2003-02-20,2003,Myndighet,Verket för näringslivsutveckling,False
2913,Ändringsbeslut,2003-04-03,2003,Myndighet,Arbetsmiljöverket,False
2914,Ändringsbeslut,2003-04-03,2003,Myndighet,Arbetsdomstolen,False
2915,Ändringsbeslut,2003-04-10,2003,Myndighet,Gemensamma bestämmelser för universitet och högskolor m.m.,False
2917,Ändringsbeslut,2003-03-27,2003,Myndighet,Statistiska centralbyrån,False
2918,Ändringsbeslut,2003-03-13,2003,Myndighet,Valmyndigheten,False
2919,Ändringsbeslut,2003-05-23,2003,Myndighet,Forskningsrådet för arbetsliv och socialvetenskap,False
2920,Ändringsbeslut,2003-03-13,2003,Myndighet,Regeringskansliet,False
2921,Ändringsbeslut,2003-02-20,2003,Myndighet,Arbetsmarknadsverket,False
2922,Ändringsbeslut,2003-03-05,2003,Myndighet,Nämnden för hemslöjdsfrågor,False
2923,Ändringsbeslut,2003-02-27,2003,Myndighet,Migrationsverket,False
2924,Ändringsbeslut,2003-02-21,2003,Myndighet,Styrelsen för internationellt utvecklingssamarbete,False
2925,Ändringsbeslut,2003-02-25,2003,Myndighet,Nordiska Afrikainstitutet,False
2926,Ändringsbeslut,2003-03-06,2003,Myndighet,Regeringskansliet,False
2927,Ändringsbeslut,2003-03-06,2003,Myndighet,Styrelsen för internationellt utvecklingssamarbete,False
2928,Ändringsbeslut,2003-03-13,2003,Myndighet,Statens räddningsverk,False
2929,Ändringsbeslut,2003-04-15,2003,Myndighet,Statens kulturråd,False
2930,Ändringsbeslut,2003-03-07,2003,Myndighet,Domstolsverket,False
2931,Ändringsbeslut,2003-03-04,2003,Myndighet,Kammarkollegiet,False
2932,Ändringsbeslut,2003-04-10,2003,Myndighet,Regeringskansliet,False
2934,Ändringsbeslut,2003-03-06,2003,Myndighet,Statens institut för särskilt utbildningsstöd,False
2935,Ändringsbeslut,2003-02-13,2003,Myndighet,Naturvårdsverket,False
2936,Ändringsbeslut,2003-04-03,2003,Myndighet,Lantmäteriverket,False
2937,Ändringsbeslut,2003-04-03,2003,Myndighet,Statens VA-nämnd,False
2938,Ändringsbeslut,2003-03-20,2003,Myndighet,Statens folkhälsoinstitut,False
2939,Ändringsbeslut,2003-03-27,2003,Myndighet,Riksförsäkringsverket,False
2940,Ändringsbeslut,2003-05-22,2003,Myndighet,Sametinget,False
2941,Ändringsbeslut,2003-06-05,2003,Myndighet,Statens jordbruksverk,False
2942,Ändringsbeslut,2003-04-30,2003,Myndighet,regeringen,False
2943,Ändringsbeslut,2003-04-03,2003,Myndighet,Krisberedskapsmyndigheten,False
2944,Ändringsbeslut,2003-03-06,2003,Myndighet,Centrala studiestödsnämnden,False
2947,Ändringsbeslut,2003-04-03,2003,Myndighet,Konsumentverket,False
2948,Ändringsbeslut,2003-03-18,2003,Myndighet,Styrelsen för internationellt utvecklingssamarbete,False
2949,Ändringsbeslut,2003-04-03,2003,Myndighet,Domstolsverket,False
2950,Ändringsbeslut,2003-02-06,2003,Myndighet,Centrala studiestödsnämnden,False
2951,Ändringsbeslut,2003-11-27,2003,Myndighet,Justitiekanslern,False
2952,Ändringsbeslut,2003-04-30,2003,Myndighet,Totalförsvarets pliktverk,False
2953,Ändringsbeslut,2003-03-28,2003,Myndighet,Rådet för Europeiska socialfonden i Sverige,False
2955,Ändringsbeslut,2003-03-27,2003,Myndighet,Kammarkollegiet,False
2956,Ändringsbeslut,2003-01-23,2003,Myndighet,Försvarets materielverk,False
2957,Ändringsbeslut,2003-03-20,2003,Myndighet,Statens folkhälsoinstitut,False
2958,Ändringsbeslut,2003-05-12,2003,Myndighet,Kammarkollegiet,False
2959,Ändringsbeslut,2003-03-27,2003,Myndighet,Migrationsverket,False
2960,Ändringsbeslut,2003-03-25,2003,Myndighet,Regeringskansliet,False
2962,Ändringsbeslut,2003-03-27,2003,Myndighet,Centrala studiestödsnämnden,False
2963,Ändringsbeslut,2003-04-03,2003,Myndighet,Styrelsen för internationellt utvecklingssamarbete,False
2964,Ändringsbeslut,2003-03-27,2003,Myndighet,Myndigheten för kvalificerad yrkesutbildning,False
2965,Ändringsbeslut,2003-03-27,2003,Myndighet,Affärsverket Statens järnvägar,False
2966,Ändringsbeslut,2003-03-27,2003,Myndighet,Arbetsmarknadsverket,False
2967,Ändringsbeslut,2003-04-24,2003,Myndighet,Kustbevakningen,False
2968,Ändringsbeslut,2003-06-05,2003,Myndighet,Statens veterinärmedicinska anstalt,False
2969,Ändringsbeslut,2003-04-24,2003,Myndighet,Statens räddningsverk,False
2970,Ändringsbeslut,2003-04-10,2003,Myndighet,Styrelsen för internationellt utvecklingssamarbete,False
2971,Ändringsbeslut,2003-04-16,2003,Myndighet,Statens folkhälsoinstitut,False
2972,Ändringsbeslut,2003-02-13,2003,Myndighet,Försvarets materielverk,False
2973,Ändringsbeslut,2003-04-30,2003,Myndighet,Nationellt centrum för flexibelt lärande,False
2975,Ändringsbeslut,2003-11-27,2003,Myndighet,Riksgäldskontoret,False
2976,Ändringsbeslut,2003-06-18,2003,Myndighet,Boverket,False
2977,Ändringsbeslut,2003-04-24,2003,Myndighet,Statens strålskyddsinstitut,False
2978,Ändringsbeslut,2003-04-11,2003,Myndighet,Sveriges meteorologiska och hydrologiska institut,False
2979,Ändringsbeslut,2003-04-24,2003,Myndighet,Naturvårdsverket,False
2980,Ändringsbeslut,2003-04-24,2003,Myndighet,Kemikalieinspektionen,False
2982,Ändringsbeslut,2003-06-18,2003,Myndighet,Verket för näringslivsutveckling,False
2984,Ändringsbeslut,2003-06-18,2003,Myndighet,Försvarsmakten,False
2985,Ändringsbeslut,2003-05-22,2003,Myndighet,Styrelsen för psykologiskt försvar,False
2986,Ändringsbeslut,2003-04-24,2003,Myndighet,Styrelsen för internationellt utvecklingssamarbete,False
2987,Ändringsbeslut,2003-05-22,2003,Myndighet,Krisberedskapsmyndigheten,False
2988,Ändringsbeslut,2003-05-27,2003,Myndighet,Statens maritima museer,False
2989,Ändringsbeslut,2003-03-27,2003,Myndighet,Rådet för Europeiska socialfonden i Sverige,False
2990,Ändringsbeslut,2003-05-15,2003,Myndighet,Fortifikationsverket,False
